SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,PacketSize,Duration,Flag,Anomaly
192.168.185.148,10.0.65.139,40212,450,UDP,556,1.403966042780509,FIN,0
192.168.98.181,10.0.253.77,18592,768,UDP,681,1.3679919359933768,SYN,0
192.168.35.12,10.0.164.181,54731,755,TCP,501,1.5521473600909972,SYN,0
192.168.116.198,10.0.228.21,20793,969,ICMP,562,2.034130561346637,SYN,1
192.168.148.253,10.0.66.15,29717,457,UDP,495,2.5190505217870895,RST,0
192.168.40.219,10.0.241.81,7420,461,TCP,467,0.48387387653002056,SYN,0
192.168.119.222,10.0.106.19,63211,198,TCP,552,0.586479040494457,ACK,0
192.168.51.98,10.0.110.184,28504,94,UDP,469,0.05135529115083523,SYN,0
192.168.142.117,10.0.199.143,42458,719,TCP,506,2.599730166882046,SYN,0
192.168.186.42,10.0.184.155,26682,947,TCP,506,0.8846593449511588,PSH,0
192.168.189.91,10.0.97.27,19966,437,UDP,459,1.2458873340209782,ACK,0
192.168.107.172,10.0.190.199,58025,527,TCP,573,0.5727103444375874,PSH,0
192.168.136.180,10.0.69.102,19455,690,UDP,322,0.6421649815924025,PSH,0
192.168.36.156,10.0.65.25,3771,967,TCP,430,0.7834580730279814,SYN,0
192.168.87.137,10.0.17.124,59343,378,TCP,402,1.586487205925271,RST,0
192.168.125.42,10.0.151.183,60174,587,TCP,530,0.9492494290286169,ACK,0
192.168.236.98,10.0.42.66,1213,104,TCP,476,1.6671217086256613,SYN,0
192.168.138.254,10.0.134.57,65469,806,TCP,358,0.24422168964106197,FIN,0
192.168.112.176,10.0.1.163,20142,680,TCP,547,0.23046888502541368,FIN,0
192.168.166.216,10.0.62.4,36797,962,UDP,522,0.23169702498914113,RST,0
192.168.28.59,10.0.198.21,54834,627,TCP,503,0.004855616536664182,ACK,0
192.168.16.207,10.0.142.237,2923,1008,TCP,578,0.19730969464888234,ACK,0
192.168.161.103,10.0.146.92,57910,39,TCP,552,0.12641042200200597,PSH,0
192.168.137.17,10.0.72.152,2291,458,TCP,476,0.6046865147192482,FIN,0
192.168.108.234,10.0.195.239,32575,364,TCP,541,0.13609549279133523,FIN,0
192.168.161.55,10.0.156.91,51704,785,TCP,636,0.5376003598483133,FIN,0
192.168.255.102,10.0.236.80,12418,135,UDP,484,7.6071524408705224,ACK,0
192.168.234.37,10.0.138.239,4580,374,TCP,624,0.6999040657596962,SYN,0
192.168.135.36,10.0.104.55,4914,232,UDP,689,2.585573796996677,FIN,0
192.168.126.191,10.0.35.153,42630,39,TCP,533,1.2103540402662356,FIN,0
192.168.134.192,10.0.245.25,31764,964,TCP,399,2.247346528243589,RST,0
192.168.219.230,10.0.62.175,61256,803,TCP,470,0.9823789263481144,PSH,0
192.168.204.93,10.0.185.59,15526,819,UDP,516,1.6612289293992322,RST,0
192.168.112.36,10.0.116.210,22801,47,TCP,502,0.36068348546661005,SYN,0
192.168.252.24,10.0.124.228,11651,36,TCP,512,0.46507007339457557,RST,0
192.168.24.221,10.0.141.202,9816,832,TCP,621,3.2253922422283745,RST,0
192.168.56.40,10.0.230.43,44347,95,UDP,414,0.3113380737008061,FIN,0
192.168.81.203,10.0.221.216,44045,985,UDP,536,0.5470955256650645,FIN,0
192.168.216.153,10.0.239.8,9457,361,TCP,592,1.0531384622538973,PSH,0
192.168.32.99,10.0.47.7,44025,525,TCP,474,0.49824376581931956,PSH,0
192.168.195.153,10.0.23.192,12040,146,UDP,397,0.021167494854644888,RST,0
192.168.239.136,10.0.105.203,24921,917,UDP,479,1.5713255059989901,ACK,0
192.168.128.249,10.0.154.58,3636,368,TCP,395,0.4089447661749464,ACK,0
192.168.5.175,10.0.150.78,57217,65,UDP,429,0.25833660171939266,PSH,0
192.168.58.175,10.0.254.94,59731,228,TCP,558,0.7043410149186043,SYN,1
192.168.136.197,10.0.182.209,56411,754,TCP,526,0.00846829350465843,PSH,0
192.168.174.29,10.0.211.161,55662,520,TCP,571,1.9943152476279153,RST,0
192.168.150.112,10.0.35.188,24507,1012,TCP,548,0.3029310308661801,ACK,0
192.168.80.117,10.0.47.215,59846,816,TCP,479,2.5606670769771904,RST,0
192.168.1.245,10.0.243.132,49579,853,TCP,399,1.1324485645156979,SYN,0
192.168.134.249,10.0.206.14,60924,555,TCP,532,0.7955095878544476,FIN,0
192.168.91.130,10.0.66.30,18183,756,TCP,446,1.641214633891465,PSH,0
192.168.54.223,10.0.187.147,45998,181,TCP,486,4.999172219491148,FIN,0
192.168.152.216,10.0.78.128,42018,501,TCP,428,0.28929538987998027,ACK,0
192.168.101.40,10.0.130.56,15565,597,UDP,590,0.43865398465659505,SYN,0
192.168.191.196,10.0.233.112,36944,155,TCP,275,0.662471624755448,RST,0
192.168.82.139,10.0.112.132,27555,787,TCP,551,0.7753938909741842,PSH,0
192.168.0.154,10.0.65.126,2609,535,TCP,514,0.8051309671093261,ACK,0
192.168.165.126,10.0.147.150,4967,627,UDP,588,0.7962269764739482,SYN,0
192.168.9.29,10.0.23.244,24963,818,TCP,377,1.7616665397938327,RST,0
192.168.185.225,10.0.107.55,20481,435,TCP,495,0.5185229024240449,RST,0
192.168.157.62,10.0.60.42,2045,811,UDP,457,0.011031835046357887,ACK,0
192.168.29.62,10.0.85.48,12677,99,TCP,484,2.0850062213346163,RST,0
192.168.40.22,10.0.117.223,44597,616,TCP,501,1.0854557749491984,FIN,0
192.168.248.209,10.0.164.68,14441,372,TCP,452,0.21008114589186097,FIN,0
192.168.35.251,10.0.20.238,54019,563,UDP,489,0.030047844531364134,SYN,0
192.168.64.33,10.0.224.4,41781,362,TCP,623,0.37947556704031665,FIN,0
192.168.243.243,10.0.148.116,10716,112,UDP,644,0.13290043046766395,ACK,0
192.168.84.68,10.0.105.176,46782,453,TCP,523,2.2713335727109087,SYN,0
192.168.216.247,10.0.60.252,64913,756,UDP,646,0.3255450402847799,PSH,0
192.168.108.238,10.0.159.188,7897,169,TCP,355,1.2230404090050566,RST,0
192.168.102.183,10.0.111.205,6699,584,TCP,580,1.072912854876263,FIN,0
192.168.159.103,10.0.202.143,1185,139,TCP,521,1.251675824361043,PSH,0
192.168.191.113,10.0.237.80,38089,848,TCP,462,0.7551125005341329,RST,0
192.168.231.31,10.0.235.121,27581,231,TCP,561,1.3081517194901762,ACK,0
192.168.126.58,10.0.254.66,34787,239,UDP,515,0.7182436938008124,PSH,0
192.168.32.87,10.0.3.118,64781,984,TCP,440,0.4741838158361626,SYN,0
192.168.10.151,10.0.9.57,33630,253,TCP,569,1.9550398101707263,ACK,0
192.168.117.151,10.0.206.99,63279,981,TCP,495,0.6138300325266414,FIN,0
192.168.112.2,10.0.210.221,12558,436,TCP,428,0.8394155415463372,PSH,0
192.168.36.182,10.0.180.103,30151,919,UDP,581,0.6254985005795545,ACK,0
192.168.30.59,10.0.6.1,41421,561,TCP,329,1.4938736098834018,ACK,0
192.168.34.232,10.0.230.97,62166,422,TCP,664,0.7759942337111613,PSH,0
192.168.16.221,10.0.71.42,26875,303,TCP,590,0.6363493153006569,FIN,0
192.168.169.19,10.0.79.31,2040,72,TCP,310,0.29817069580351185,ACK,0
192.168.121.72,10.0.92.202,25277,263,TCP,621,2.4252245204010423,PSH,0
192.168.248.55,10.0.65.31,56615,834,TCP,508,1.9890175147867641,ACK,0
192.168.67.186,10.0.108.220,25300,222,UDP,294,0.564742814670518,SYN,0
192.168.242.63,10.0.212.222,24271,77,UDP,313,1.077984724263962,PSH,0
192.168.242.207,10.0.84.124,25324,62,UDP,557,0.7095065422551378,PSH,0
192.168.208.49,10.0.133.196,9553,471,UDP,390,0.19380731316909855,ACK,0
192.168.48.25,10.0.225.35,18286,157,TCP,412,0.4716515922356062,PSH,1
192.168.220.91,10.0.218.67,10292,806,TCP,510,1.9188048055058928,SYN,0
192.168.216.106,10.0.110.154,22295,125,UDP,550,1.596709512226225,FIN,0
192.168.239.222,10.0.105.51,13209,741,UDP,521,0.10813245595294613,SYN,0
192.168.27.173,10.0.5.233,64728,852,TCP,409,0.07830900612994143,PSH,0
192.168.50.16,10.0.153.185,22267,161,TCP,425,1.9208441343031966,PSH,0
192.168.206.187,10.0.184.165,40123,541,TCP,393,2.2956909634066367,ACK,0
192.168.173.205,10.0.220.146,9595,626,TCP,523,0.3484703295121758,RST,0
192.168.55.64,10.0.85.170,58860,591,TCP,517,0.42968586198413133,RST,0
192.168.98.49,10.0.18.231,41000,535,UDP,539,0.40917619566500046,FIN,0
192.168.229.36,10.0.205.103,39068,106,TCP,518,0.13578350562468086,ACK,0
192.168.216.47,10.0.203.9,52238,131,TCP,511,1.3665333319107689,SYN,0
192.168.142.119,10.0.139.140,62252,357,TCP,589,0.4621719812178347,ACK,0
192.168.127.224,10.0.180.254,50240,1016,TCP,509,1.8092748731068966,ACK,0
192.168.38.114,10.0.118.25,50008,989,TCP,588,2.1079994802319084,SYN,0
192.168.50.13,10.0.93.52,41798,685,ICMP,460,2.439475751338015,ACK,0
192.168.7.249,10.0.129.168,3592,776,UDP,421,1.703430582384925,PSH,0
192.168.47.238,10.0.135.53,55639,854,UDP,620,1.5554741506094274,FIN,0
192.168.121.43,10.0.174.134,63616,885,TCP,453,0.5969064122223696,RST,0
192.168.208.125,10.0.141.149,3051,797,TCP,489,0.02731721155141847,SYN,0
192.168.246.55,10.0.46.29,3719,2,ICMP,417,0.11885405182504587,RST,0
192.168.205.232,10.0.158.252,59863,233,TCP,698,0.7568867812469398,PSH,0
192.168.30.43,10.0.221.90,49214,369,UDP,346,0.4463269995133977,RST,0
192.168.194.1,10.0.50.40,6282,251,UDP,598,1.7665700863039362,PSH,0
192.168.199.68,10.0.133.47,23026,946,TCP,313,0.8281422505835199,RST,0
192.168.232.74,10.0.60.8,40528,1005,TCP,462,0.10406536776163791,FIN,0
192.168.216.179,10.0.199.192,34183,833,TCP,574,0.6511056350331542,PSH,0
192.168.249.40,10.0.120.120,15010,108,TCP,667,1.7257643368629223,SYN,0
192.168.97.76,10.0.45.122,62882,276,TCP,476,1.988366937557245,SYN,0
192.168.111.248,10.0.9.79,64800,180,UDP,445,0.1815905872166845,ACK,0
192.168.29.149,10.0.115.203,13690,725,UDP,520,0.10569363042880203,ACK,0
192.168.31.192,10.0.192.65,39684,293,TCP,665,0.48937498586641276,FIN,0
192.168.160.15,10.0.48.22,4585,584,TCP,516,0.06776018038769403,RST,0
192.168.25.150,10.0.210.187,27878,795,TCP,551,1.2959401176735565,RST,0
192.168.244.129,10.0.173.149,65529,175,TCP,436,0.5933610180124206,PSH,0
192.168.80.15,10.0.179.237,39976,123,TCP,590,0.22092445938966637,FIN,0
192.168.41.218,10.0.185.189,53275,227,TCP,343,0.10810754236460453,PSH,0
192.168.95.18,10.0.190.147,23686,902,TCP,625,2.6221303758049825,SYN,0
192.168.34.173,10.0.132.43,9416,444,TCP,632,0.04401441403273654,SYN,0
192.168.120.104,10.0.37.160,31559,813,TCP,702,0.10300594812638954,RST,0
192.168.61.242,10.0.126.128,14091,428,TCP,632,0.26688151075061006,ACK,0
192.168.126.149,10.0.101.236,49057,83,TCP,446,0.09945619212703205,ACK,0
192.168.20.159,10.0.53.54,53280,765,TCP,646,1.0336231442979722,SYN,0
192.168.41.108,10.0.209.50,24623,658,TCP,613,0.2461805359298429,PSH,0
192.168.161.240,10.0.201.87,62966,632,UDP,427,0.6537919409460691,RST,0
192.168.133.53,10.0.254.46,36246,65,UDP,520,1.9678510394412632,PSH,0
192.168.160.62,10.0.250.103,12861,281,TCP,208,1.7416675317437995,ACK,1
192.168.135.102,10.0.236.110,15063,795,TCP,362,0.15810973654485352,FIN,0
192.168.67.172,10.0.252.122,59172,391,TCP,582,0.09291746439473691,ACK,0
192.168.153.118,10.0.249.94,31842,428,TCP,663,1.091392210092836,PSH,0
192.168.161.238,10.0.107.93,20139,618,UDP,582,0.23610872158526613,ACK,0
192.168.37.3,10.0.217.19,64359,925,TCP,505,1.5207512620621035,ACK,0
192.168.234.160,10.0.106.214,11989,991,TCP,396,0.570024829544382,ACK,0
192.168.51.19,10.0.158.23,25562,812,TCP,564,0.1678505461819557,ACK,0
192.168.109.130,10.0.248.66,43554,107,UDP,308,3.6580094176344793,RST,0
192.168.135.34,10.0.37.150,6080,548,UDP,551,0.05722050863467916,SYN,0
192.168.178.226,10.0.177.57,33506,659,TCP,409,0.1327251858542741,ACK,0
192.168.35.226,10.0.12.246,48740,262,UDP,575,1.6715100162210148,ACK,0
192.168.125.95,10.0.152.46,9134,921,TCP,580,0.6027311914741801,RST,0
192.168.145.41,10.0.221.202,14797,159,TCP,443,2.7814557151052037,RST,0
192.168.224.214,10.0.251.219,28290,265,TCP,593,0.11989781315297429,FIN,0
192.168.154.157,10.0.66.50,54016,468,TCP,324,0.170769012607744,RST,0
192.168.4.171,10.0.102.156,18436,202,TCP,485,0.001826121483003943,FIN,0
192.168.153.239,10.0.6.174,57561,933,UDP,579,0.2447704106601616,FIN,0
192.168.53.241,10.0.250.218,34294,155,UDP,562,1.0707847622196718,ACK,0
192.168.68.68,10.0.207.30,7934,13,TCP,444,1.2849314179393976,PSH,0
192.168.59.228,10.0.186.222,46477,297,TCP,588,0.5620127787074938,ACK,0
192.168.54.191,10.0.14.9,26470,896,TCP,591,0.29754149955111914,SYN,0
192.168.79.70,10.0.48.20,57114,834,TCP,382,1.2599428368695051,FIN,0
192.168.144.155,10.0.41.58,54664,498,UDP,488,0.18947880303098963,PSH,0
192.168.107.184,10.0.54.86,1230,597,TCP,519,1.4570855710158546,RST,0
192.168.175.53,10.0.157.135,22542,993,TCP,518,1.544538581191099,RST,0
192.168.135.130,10.0.0.79,23385,792,TCP,581,0.581738490242033,RST,0
192.168.250.65,10.0.144.47,57897,245,TCP,458,0.21518467712038947,PSH,0
192.168.26.24,10.0.101.106,24443,300,TCP,663,0.9939115102575052,RST,0
192.168.216.213,10.0.128.128,51660,362,UDP,460,1.920418884113404,RST,0
192.168.141.12,10.0.80.195,58034,354,UDP,386,0.7539748667565928,FIN,0
192.168.1.86,10.0.38.67,49726,828,TCP,477,0.6181657598275064,RST,0
192.168.66.164,10.0.6.23,51039,521,UDP,525,3.873951544190486,PSH,0
192.168.134.42,10.0.1.222,52966,386,UDP,382,0.7709477856559335,RST,0
192.168.226.142,10.0.201.25,57584,759,TCP,469,0.034815502097061836,ACK,0
192.168.218.144,10.0.196.199,42547,312,TCP,375,0.6972555944988363,FIN,0
192.168.4.29,10.0.128.212,55292,414,TCP,570,0.5892762463204388,SYN,0
192.168.38.242,10.0.235.181,46175,278,TCP,482,0.345458089470205,ACK,0
192.168.76.140,10.0.9.80,23427,750,TCP,261,0.38177805054614106,SYN,0
192.168.18.214,10.0.45.88,19165,715,TCP,603,2.671121478267063,PSH,0
192.168.189.150,10.0.246.58,15844,759,TCP,382,0.1434050493369306,SYN,0
192.168.75.111,10.0.13.98,41366,747,TCP,766,1.4440808658015878,SYN,0
192.168.65.11,10.0.232.157,7398,593,TCP,431,2.327079893128101,RST,0
192.168.157.94,10.0.195.119,57068,356,TCP,442,0.30040832615486507,FIN,0
192.168.20.231,10.0.118.100,2702,525,TCP,516,0.06915139956124364,SYN,0
192.168.183.54,10.0.231.47,53418,839,TCP,258,0.36693626497417275,PSH,0
192.168.127.171,10.0.18.150,54812,16,TCP,544,0.5671866711983856,PSH,0
192.168.52.91,10.0.201.31,34851,993,TCP,570,3.02463142602337,PSH,0
192.168.208.250,10.0.23.206,56844,45,UDP,590,0.5623659488572831,RST,0
192.168.79.237,10.0.92.195,63647,321,TCP,528,0.09657351311456336,ACK,0
192.168.121.222,10.0.99.118,17222,651,TCP,509,0.15886523148562243,RST,0
192.168.83.250,10.0.92.111,10938,326,TCP,348,0.4349960995985086,RST,0
192.168.90.226,10.0.156.58,28914,148,TCP,549,0.20357112909122788,SYN,0
192.168.211.7,10.0.88.15,53333,355,TCP,495,0.06247902798882122,FIN,0
192.168.91.189,10.0.186.131,23323,236,TCP,457,0.1926869258047908,PSH,0
192.168.170.201,10.0.198.146,44609,703,UDP,396,0.11148007740040289,FIN,0
192.168.210.206,10.0.224.252,44713,613,TCP,547,0.22652211962916244,ACK,0
192.168.127.69,10.0.81.230,65068,105,TCP,467,5.642023246930107,FIN,1
192.168.81.202,10.0.136.234,43581,474,UDP,311,0.5895235770849228,FIN,0
192.168.55.98,10.0.185.159,50104,762,TCP,477,1.0746989059261465,ACK,0
192.168.19.220,10.0.240.27,45044,396,TCP,422,0.18066123350246646,ACK,0
192.168.240.57,10.0.186.93,3717,446,TCP,587,1.8924091191635746,PSH,0
192.168.102.210,10.0.227.159,30491,606,UDP,483,0.31048152252836153,PSH,0
192.168.235.90,10.0.100.41,30747,220,UDP,473,4.0450123254830945,ACK,0
192.168.156.211,10.0.250.120,47723,987,TCP,530,1.8122142251988196,ACK,0
192.168.116.58,10.0.3.31,4651,810,TCP,667,3.013314847323643,RST,0
192.168.12.169,10.0.59.175,26963,851,UDP,540,1.1035304468443976,PSH,0
192.168.98.103,10.0.171.79,49949,965,TCP,421,1.0732129666153032,PSH,1
192.168.168.72,10.0.49.214,43965,442,UDP,344,1.839462152604559,RST,0
192.168.35.248,10.0.238.174,22858,645,TCP,633,1.2565379915950132,RST,0
192.168.142.90,10.0.255.53,19071,873,ICMP,254,0.9318835247015101,PSH,0
192.168.204.174,10.0.93.187,27129,667,UDP,497,0.4435858016971024,RST,0
192.168.169.241,10.0.211.2,11254,28,TCP,734,0.2521435960050068,PSH,0
192.168.14.30,10.0.217.131,16731,794,TCP,322,1.5243823097967086,SYN,0
192.168.133.46,10.0.174.105,23000,475,TCP,388,0.48784159957130796,PSH,0
192.168.135.10,10.0.215.194,45286,628,TCP,519,0.06315802681604592,RST,0
192.168.55.153,10.0.32.9,60605,305,TCP,419,0.6531999563046221,ACK,0
192.168.222.89,10.0.175.173,24800,746,TCP,488,1.0715176849681791,FIN,0
192.168.160.112,10.0.242.52,31104,405,TCP,542,0.02330799981516939,FIN,0
192.168.59.99,10.0.177.129,63864,513,TCP,556,1.2211904340711435,FIN,0
192.168.97.66,10.0.193.253,2330,502,UDP,610,0.2544833238319386,FIN,0
192.168.22.182,10.0.245.221,62397,348,TCP,341,0.2514880408352431,ACK,0
192.168.223.1,10.0.150.213,7800,240,UDP,626,0.827550972659295,FIN,0
192.168.100.94,10.0.108.243,28275,1018,TCP,634,0.41142414169404506,SYN,0
192.168.220.18,10.0.99.219,63436,570,TCP,584,0.5988989053697287,RST,0
192.168.169.160,10.0.210.71,56040,847,TCP,386,0.7195785296286389,PSH,0
192.168.160.170,10.0.139.227,10498,695,TCP,381,2.5386007783799567,ACK,0
192.168.63.185,10.0.254.14,41318,337,TCP,529,0.2292881005956265,FIN,0
192.168.153.130,10.0.86.98,59077,26,TCP,564,0.624194280748994,FIN,0
192.168.158.171,10.0.102.39,22983,980,ICMP,617,1.5417188504296344,FIN,0
192.168.209.84,10.0.250.102,6554,409,TCP,451,0.2296235142041223,RST,0
192.168.206.179,10.0.252.169,30344,77,UDP,562,0.08597375690076392,ACK,0
192.168.151.142,10.0.217.227,54589,929,TCP,557,0.01792418849130722,SYN,0
192.168.65.50,10.0.179.153,4772,217,TCP,434,0.10951691784569326,PSH,0
192.168.215.171,10.0.201.207,32992,328,TCP,455,0.3210190094018617,SYN,1
192.168.194.174,10.0.135.189,33586,837,UDP,340,0.5263732731718822,SYN,0
192.168.89.158,10.0.171.133,14569,774,TCP,393,0.9008454025474276,FIN,0
192.168.154.104,10.0.227.168,63147,23,UDP,437,0.22325669596086628,ACK,0
192.168.0.78,10.0.198.99,1687,756,TCP,552,0.3142940185878489,FIN,0
192.168.146.54,10.0.132.210,35790,670,TCP,726,1.2009122911431045,PSH,0
192.168.220.202,10.0.135.249,9018,718,TCP,548,2.3969830659787927,ACK,0
192.168.164.120,10.0.226.191,29045,310,TCP,375,0.14562103327668185,SYN,0
192.168.226.114,10.0.40.90,62111,599,TCP,452,0.6396350806144964,FIN,0
192.168.109.131,10.0.181.216,31327,267,TCP,605,0.3501504042723245,SYN,0
192.168.242.204,10.0.122.71,51671,415,TCP,419,0.7507132773483634,PSH,0
192.168.86.169,10.0.226.233,4328,646,TCP,649,0.1268465114963981,RST,0
192.168.43.73,10.0.129.222,53939,267,TCP,568,0.3161351496594687,PSH,0
192.168.171.24,10.0.163.166,55408,333,TCP,474,1.2339570957180153,ACK,0
192.168.120.173,10.0.18.184,52029,1023,TCP,308,1.7109721954008796,RST,0
192.168.158.58,10.0.66.65,47600,780,TCP,600,0.9719235467780188,SYN,0
192.168.101.38,10.0.12.199,40377,1014,UDP,564,2.8906333183731974,RST,0
192.168.12.12,10.0.186.62,63027,450,UDP,547,1.0581438428041192,FIN,0
192.168.125.252,10.0.226.127,18699,565,TCP,767,1.3727587433982846,SYN,0
192.168.243.157,10.0.86.154,53757,611,TCP,406,0.4422751707011203,RST,0
192.168.37.117,10.0.2.144,45441,247,TCP,652,0.1861708856108569,PSH,0
192.168.212.227,10.0.139.174,24962,36,UDP,481,1.0725858618130788,RST,0
192.168.99.184,10.0.203.81,24688,401,UDP,525,2.5143791105244793,ACK,0
192.168.196.127,10.0.116.165,2660,28,TCP,531,4.011898564981049,SYN,0
192.168.204.63,10.0.132.86,21104,220,UDP,583,0.5979226195969628,RST,0
192.168.75.168,10.0.13.61,61367,406,TCP,428,0.7758916924028986,SYN,0
192.168.2.229,10.0.225.207,28752,614,TCP,739,0.37282618311912596,PSH,0
192.168.54.200,10.0.178.72,50874,775,UDP,389,1.116312388504156,ACK,0
192.168.217.57,10.0.16.198,27760,271,UDP,464,1.449109701873317,SYN,0
192.168.90.206,10.0.246.135,29697,736,UDP,684,0.04206916885134204,ACK,0
192.168.237.13,10.0.3.96,38529,651,TCP,617,1.874894281849759,PSH,0
192.168.127.235,10.0.117.137,48347,792,TCP,464,0.7211317701340049,SYN,0
192.168.62.117,10.0.110.51,47669,511,UDP,568,0.8668220432706737,PSH,0
192.168.68.206,10.0.190.237,1878,963,TCP,392,0.23095666677574495,PSH,0
192.168.237.171,10.0.206.149,25572,286,TCP,418,0.010353908366908226,ACK,0
192.168.162.244,10.0.96.48,39647,454,TCP,463,3.0407990324476133,PSH,0
192.168.226.157,10.0.61.64,8416,762,UDP,642,2.6366657835214946,PSH,0
192.168.218.213,10.0.208.154,56704,834,UDP,289,1.4887266355515978,RST,0
192.168.228.230,10.0.194.78,61842,317,TCP,588,0.6416888282824589,SYN,0
192.168.81.191,10.0.21.179,47741,590,UDP,460,0.382170061466724,PSH,0
192.168.243.116,10.0.141.208,55425,297,TCP,562,0.1696953331862739,FIN,0
192.168.132.193,10.0.14.122,22580,338,TCP,558,0.08438255356373814,FIN,0
192.168.126.216,10.0.113.118,51883,307,TCP,497,0.6112079481824108,RST,0
192.168.141.197,10.0.107.15,61145,428,TCP,424,1.5714065148202605,PSH,0
192.168.248.161,10.0.140.23,39583,351,UDP,433,1.2943432634269674,RST,0
192.168.122.71,10.0.180.1,27333,511,UDP,468,1.4103165478285777,FIN,0
192.168.225.20,10.0.197.56,22943,525,TCP,337,0.12630063956500542,SYN,0
192.168.146.61,10.0.90.208,64758,858,UDP,508,1.985944608855773,PSH,0
192.168.139.86,10.0.131.215,5955,492,TCP,429,1.6294996565667526,RST,0
192.168.163.229,10.0.15.81,53686,908,TCP,453,0.09881398359568003,SYN,0
192.168.41.36,10.0.52.12,33994,594,UDP,479,0.4408842382704925,RST,0
192.168.77.60,10.0.72.105,45239,9,TCP,575,0.47036241871956336,SYN,0
192.168.196.178,10.0.184.133,54394,497,UDP,623,1.3284466486312707,SYN,0
192.168.78.181,10.0.117.223,13712,725,TCP,637,1.9695716879394756,RST,0
192.168.109.17,10.0.231.162,26366,560,UDP,541,0.47116532465571725,FIN,0
192.168.212.105,10.0.221.53,38181,561,TCP,461,0.1402267672010776,RST,0
192.168.169.139,10.0.103.229,3351,821,TCP,369,0.08616993139734336,ACK,1
192.168.238.107,10.0.149.237,41796,440,TCP,744,1.0184399609068908,PSH,0
192.168.31.53,10.0.202.120,53107,552,TCP,678,0.6891116248205856,FIN,0
192.168.215.100,10.0.143.166,41569,875,TCP,589,2.32327966737772,FIN,0
192.168.10.220,10.0.218.69,1221,792,TCP,565,3.0689076527493624,RST,0
192.168.194.123,10.0.201.222,24533,738,UDP,464,2.283347129011092,PSH,0
192.168.3.242,10.0.221.191,35722,968,UDP,513,0.07864673321069614,ACK,0
192.168.180.77,10.0.19.64,45566,108,UDP,592,0.3344436450382691,RST,0
192.168.199.219,10.0.111.218,16111,245,UDP,310,0.27286888373107,PSH,0
192.168.214.138,10.0.69.232,23695,255,UDP,438,0.07113428026446122,RST,0
192.168.112.125,10.0.248.51,26208,33,TCP,501,2.5043652135247862,PSH,0
192.168.112.70,10.0.242.68,28872,23,UDP,307,2.25175945470426,FIN,0
192.168.223.125,10.0.57.86,43131,845,UDP,351,0.495554755282429,RST,0
192.168.14.100,10.0.75.201,21690,566,TCP,434,3.187133976977155,ACK,1
192.168.172.172,10.0.27.182,45381,821,TCP,508,0.8286133096337946,PSH,0
192.168.207.186,10.0.145.210,52687,49,TCP,651,0.5692170686395865,ACK,0
192.168.84.216,10.0.35.14,16732,462,UDP,455,0.7977302681082937,ACK,0
192.168.239.236,10.0.45.6,27394,590,TCP,688,0.5482775482142409,RST,0
